age,male,female
0,0.000406652,0.000427047
1,0.00035361,0.000371345
2,0.000255035,0.000273314
3,0.000227613,0.000225599
4,0.00020019,0.000204215
5,0.000176862,0.000183258
6,0.0001694,0.000173951
7,0.000154565,0.00015041
8,0.000147452,0.000139398
9,0.000145862,0.000136335
10,0.000148748,0.000156765
11,0.000156722,0.000181623
12,0.000169901,0.000204242
13,0.000187938,0.000218225
14,0.000207102,0.000226349
15,0.000224277,0.00022893
16,0.000237203,0.000231951
17,0.000243902,0.000241916
18,0.000244121,0.000263568
19,0.000249276,0.000291636
20,0.000254432,0.000322776
21,0.000259587,0.000352502
22,0.000264743,0.000376008
23,0.000269898,0.000400707
24,0.000297486,0.000435456
25,0.000331089,0.000484551
26,0.000366491,0.000548756
27,0.000405114,0.00062801
28,0.000452108,0.000719634
29,0.000509961,0.000819909
30,0.00057507,0.000929364
31,0.000643473,0.001045041
32,0.000715518,0.001169277
33,0.000789465,0.001303853
34,0.000869405,0.001453883
35,0.00095733,0.001619901
36,0.001057668,0.001804503
37,0.001174692,0.002005089
38,0.001312611,0.002221436
39,0.001471986,0.002454107
40,0.001652492,0.002697024
41,0.00185438,0.002950973
42,0.002079491,0.003221537
43,0.002338331,0.003507522
44,0.002639154,0.003801174
45,0.002983751,0.004090721
46,0.003374822,0.004365873
47,0.003808629,0.004617746
48,0.004281273,0.004839989
49,0.004784382,0.005038055
50,0.005309048,0.005225264
51,0.00585146,0.005416068
52,0.006413877,0.005622476
53,0.007005666,0.005842121
54,0.007608383,0.006051251
55,0.008225508,0.006250688
56,0.008857121,0.006468492
57,0.009514913,0.006747548
58,0.010226052,0.007095779
59,0.011008055,0.007480539
60,0.011856128,0.007861136
61,0.012746783,0.008199363
62,0.013651299,0.008476041
63,0.014540813,0.008708303
64,0.015408615,0.008929251
65,0.016271724,0.009181611
66,0.017175576,0.009508284
67,0.018180065,0.009938025
68,0.019322885,0.010462044
69,0.020601869,0.011035686
70,0.021963389,0.011605947
71,0.023367671,0.012161372
72,0.024759974,0.012705477
73,0.026110605,0.013244475
74,0.027398601,0.013763846
75,0.028601292,0.014246652
76,0.029708033,0.014682401
77,0.030714227,0.01506416
78,0.031615995,0.015396575
79,0.032406792,0.015693537
80,0.033080301,0.015958946
81,0.033638126,0.016199427
82,0.03409532,0.016427036
83,0.034468016,0.0166505
84,0.034770416,0.016873406
85,0.035016242,0.017095403
86,0.035224406,0.017316062
87,0.03542211,0.017538327
88,0.035627348,0.017764166
89,0.03584526,0.017994167
90,0.036070998,0.018227849
91,0.036298158,0.018464567
92,0.036526749,0.01870436
93,0.036756779,0.018947265
94,0.036988257,0.019193325
95,0.037221194,0.019442582
96,0.037455596,0.019695075
97,0.037691475,0.019950848
98,0.037928841,0.020209941
99,0.0381677,0.020472402
100,0.038408064,0.020738268
101,0.038649942,0.021007589
102,0.038893343,0.021280406
103,0.039138276,0.021556766
104,0.039384752,0.021836715
105,0.039632781,0.022120299
