age,male,female
0,0.000722,0.000661
1,0.000603,0.000536
2,0.000499,0.000424
3,0.000416,0.000333
4,0.000358,0.000267
5,0.000323,0.000224
6,0.000309,0.000201
7,0.000308,0.000189
8,0.000311,0.000181
9,0.000312,0.000175
10,0.000312,0.000169
11,0.000312,0.000165
12,0.000313,0.000165
13,0.00032,0.000169
14,0.000336,0.000179
15,0.000364,0.000192
16,0.000404,0.000208
17,0.000455,0.000226
18,0.000513,0.000245
19,0.000572,0.000264
20,0.000621,0.000283
21,0.000661,0.0003
22,0.000692,0.000315
23,0.000716,0.000328
24,0.000738,0.000338
25,0.000759,0.000347
26,0.000779,0.000355
27,0.000795,0.000362
28,0.000815,0.000372
29,0.000842,0.000386
30,0.000881,0.000406
31,0.000932,0.000432
32,0.000994,0.000465
33,0.001055,0.000496
34,0.001121,0.000528
35,0.001194,0.000563
36,0.001275,0.000601
37,0.001367,0.000646
38,0.001472,0.000699
39,0.001589,0.000761
40,0.001715,0.000828
41,0.001845,0.000897
42,0.001978,0.000966
43,0.002113,0.001033
44,0.002255,0.001103
45,0.002413,0.001181
46,0.002595,0.001274
47,0.002805,0.001389
48,0.003042,0.001527
49,0.003299,0.00169
50,0.00357,0.001873
51,0.003847,0.002074
52,0.004132,0.002295
53,0.004434,0.002546
54,0.004778,0.002836
55,0.005203,0.003178
56,0.005744,0.003577
57,0.006427,0.004036
58,0.00726,0.004556
59,0.008229,0.005133
60,0.009313,0.005768
61,0.01049,0.006465
62,0.011747,0.007235
63,0.013091,0.008094
64,0.014542,0.009059
65,0.016134,0.010148
66,0.017905,0.011376
67,0.019886,0.01276
68,0.022103,0.014316
69,0.024571,0.016066
70,0.027309,0.018033
71,0.03034,0.020241
72,0.033684,0.022715
73,0.037371,0.025479
74,0.04143,0.028561
75,0.045902,0.031989
76,0.050829,0.035796
77,0.056262,0.040026
78,0.062257,0.044726
79,0.068871,0.049954
80,0.076187,0.055774
81,0.084224,0.062253
82,0.093071,0.069494
83,0.1028,0.077511
84,0.113489,0.086415
85,0.125221,0.096294
86,0.13808,0.107243
87,0.152157,0.119364
88,0.167543,0.132763
89,0.184333,0.147553
90,0.202621,0.16385
91,0.2225,0.181775
92,0.244059,0.201447
93,0.267383,0.222987
94,0.292544,0.246507
95,0.319604,0.272115
96,0.348606,0.299903
97,0.379572,0.329942
98,0.412495,0.362281
99,0.447334,0.396933
100,0.48401,0.433869
101,0.522397,0.473008
102,0.562317,0.514211
103,0.603539,0.557269
104,0.64577,0.601896
105,1,1
