age,male,female
0,0.020000,0.020000
1,0.084700,0.151600
2,0.109100,0.162100
3,0.119400,0.173300
4,0.125700,0.185400
5,0.131000,0.198200
6,0.139200,0.212000
7,0.149700,0.227100
8,0.157800,0.239800
9,0.167300,0.253700
10,0.176600,0.265800
11,0.185300,0.275200
12,0.193000,0.280900
13,0.199200,0.282700
14,0.203600,0.280800
15,0.205800,0.275900
16,0.205200,0.268900
17,0.201500,0.260700
18,0.195200,0.252400
19,0.187500,0.244800
20,0.180100,0.238900
21,0.175300,0.235900
22,0.174900,0.236800
23,0.179800,0.242100
24,0.189600,0.251600
25,0.202600,0.264200
26,0.216800,0.278900
27,0.230400,0.294300
28,0.242300,0.309900
29,0.252500,0.325200
30,0.261800,0.340400
31,0.271500,0.355500
32,0.282300,0.370600
33,0.294800,0.385500
34,0.309200,0.400400
35,0.325200,0.415500
36,0.342800,0.431300
37,0.361800,0.448200
38,0.382100,0.466300
39,0.403100,0.485100
40,0.424300,0.504000
41,0.444900,0.522000
42,0.464400,0.538400
43,0.482300,0.552900
44,0.498600,0.565300
45,0.513600,0.576000
46,0.528000,0.585500
47,0.542300,0.594200
48,0.556800,0.602700
49,0.571500,0.610700
50,0.585700,0.618300
51,0.599100,0.625100
52,0.611300,0.631200
53,0.622300,0.636700
54,0.631600,0.641200
55,0.639000,0.644500
56,0.644200,0.646300
57,0.647100,0.646300
58,0.648000,0.644800
59,0.647300,0.641600
60,0.645800,0.637000
61,0.643900,0.631300
62,0.642400,0.624500
63,0.641300,0.616600
64,0.640200,0.607700
65,0.638400,0.597800
66,0.635100,0.587500
67,0.630200,0.577300
68,0.623600,0.567800
69,0.615500,0.559100
70,0.606100,0.551000
71,0.595600,0.543100
72,0.584100,0.534900
73,0.571700,0.526000
74,0.558600,0.515600
75,0.544700,0.503500
76,0.530200,0.489500
77,0.515400,0.473800
78,0.500400,0.456800
79,0.485700,0.439200
80,0.471400,0.421800
81,0.457800,0.405200
82,0.445000,0.390000
83,0.433200,0.376300
84,0.422300,0.363800
85,0.412100,0.351800
86,0.402500,0.340100
87,0.393100,0.328300
88,0.383700,0.316400
89,0.374000,0.304300
90,0.364000,0.292000
91,0.353700,0.279600
92,0.343100,0.267300
93,0.332600,0.255400
94,0.318700,0.241300
95,0.301900,0.225500
96,0.286500,0.211100
97,0.272500,0.198000
98,0.259700,0.186100
99,0.248100,0.175300
100,0.237500,0.165400
101,0.228000,0.156600
102,0.219500,0.148700
103,0.212000,0.141700
104,0.205500,0.135400
105,0.137700,0.084200
